	topic	subtopic	product name	review
0	Красота и здоровье	Ухаживающая косметика	Сыворотка для лица Floresan (Флоресан) Формула 658 Питательная с маслом авокадо	['замечательный', 'находка', 'сыворотка', 'питательный', 'floresan', 'авокадо', 'гиалуроновой', 'кислота', 'сыворотка', 'питательный', 'floresan', 'авокадо', 'гиалуроновой', 'кислота', 'характеристика', 'россия', 'г', 'москва', 'ооо', 'флоресать', 'сеть', 'фикс', 'прайс', 'стоимость', 'объем', 'мл', 'срок', 'годность', 'мера', 'предосторожность', 'применение', 'пузырек', 'проходиться', 'бросаться', 'глаз', 'сыворотка', 'содержать', 'целовать', 'экстракт', 'витамин', 'практически', 'данные', 'компонент', 'действительно', 'смущать', 'присутствие', 'отдушка', 'краситель', 'аллергический', 'реакция', 'компонент', 'хоть', 'список', 'остальное', 'вполне', 'плохой', 'об', 'поговорить', 'чуть', 'ниже', 'предыстория', 'давно', 'зайти', 'фикс', 'прайс', 'поскольку', 'сеть', 'выставлять', 'товар', 'предстоящий', 'праздник', 'зайти', 'посуда', 'ассортимент', 'целое', 'хоть', 'полка', 'косметика', 'новинка', 'манить', 'громкий', 'надпись', 'обещание', 'рано', 'ужасно', 'сыворотка', 'sendo', 'c', 'кислота', 'отбивать', 'желание', 'косметика', 'фикс', 'долгий', 'как-то', 'весна', 'порыв', 'тоник', 'sendo', 'наверное', 'вместе', 'сыворотка', 'sendo', 'бутылочка', 'долго', 'закрытый', 'вместе', 'храниться', 'запас', 'всякий', 'пенка', 'прочее', 'корейский', 'тонер', 'устраивать', 'поздно', 'тоник', 'sendo', 'открывать', 'ради', 'интерес', 'марка', 'явно', 'над', 'пойти', 'фикс', 'прайс', 'тоник', 'однако', 'крайний', 'тоник', 'странно', 'обращать', 'сыворотка', 'приглянуться', 'сыворотка', 'floresan', 'авокадо', 'sendo', 'появляться', 'новинка', 'интернет', 'слабенький', 'правда', 'равно', 'желание', 'сыворотка', 'гиалуроновой', 'кислота', 'тип', 'считать', 'тип', 'капризный', 'жирный', 'тип', 'возраст', 'плохо', 'из-за', 'подсушивать', 'различный', 'лосьон', 'спирт', 'жесткий', 'учить', 'мама', 'бабушка', 'кажется', 'ошибка', 'прошлое', 'поколение', 'пересматривать', 'уход', 'пункт', 'питание', 'увлажнение', 'добавлять', 'кислота', 'довольный', 'идеально', 'взгляд', 'стремиться', 'почему', 'идеально', 'увлажнять', 'уставать', 'опять', 'жирный', 'блеск', 'приходиться', 'уход', 'степень', 'питание', 'увлажнение', 'об', 'вместе', 'сыворотка', 'floresan', 'сыворотка', 'floresan', 'некоторые', 'пора', 'зарабатывать', 'аллергия', 'гель', 'ноготь', 'распространяться', 'косметический', 'часто', 'иной', 'чесаться', 'глаз', 'бывать', 'сыворотка', 'floresan', 'испытание', 'проходить', 'реакция', 'компонент', 'число', 'краситель', 'отдушка', 'консервант', 'абсолютно', 'сыворотка', 'впитываться', 'моментально', 'подробно', 'наносить', 'сыворотка', 'вдруг', 'смысл', 'секунда', 'радоваться', 'подумать', 'сыворотка', 'содержать', 'спирт', 'nivea', 'тип', 'рекламировать', 'nivea', 'увлажнять', 'жирный', 'блеск', 'пробовать', 'концентрация', 'спирт', 'nivea', 'спирт', 'сыворотка', 'обнаруживать', 'дискомфорт', 'получать', 'спирт', 'далее', 'вспоминаться', 'блогер', 'сыворотка', 'фикс', 'прайс', 'из-за', 'гелеобразный', 'консистенция', 'впитываться', 'эффект', 'ноль', 'сыворотка', 'floresan', 'полезть', 'доставать', 'прямой', 'единый', 'шелушение', 'откладывать', 'девочка', 'сыворотка', 'фикс', 'прайс', 'идеальный', 'встречать', 'сыворотка', 'впитываться', 'моментально', 'побояться', 'питать', 'нанесение', 'косметика', 'floresan', 'добиваться', 'тонкий', 'грань', 'между', 'питание', 'быстрый', 'впитывание', 'загадка', 'липкость', 'покрываться', 'прыщ', 'масляный', 'силиконовый', 'однако', 'образовываться', 'совершенно', 'впитываться', 'итак', 'жирный', 'жареный', 'блин', 'пора', 'надпись', 'сыворотка', 'авокадо', 'поначалу', 'смущать', 'однако', 'сыворотка', 'легкий', 'чудо', 'возможно', 'роль', 'играть', 'гиалуроновой', 'кислота', 'отлично', 'идеальный', 'соотношение', 'сыворотка', 'питание', 'увлажнение', 'сыворотка', 'питать', 'увлажнение', 'результат', 'почему', 'замечать', 'сыворотка', 'плотный', 'пора', 'из-за', 'напитывать', 'изнутри', 'показывать', 'наглядно', 'итак', 'сыворотка', 'умывание', 'видно', 'просить', 'влага', 'утро', 'сыворотка', 'дабы', 'показывать', 'результат', 'вечер', 'наносить', 'сыворотка', 'умывание', 'обычно', 'нанесение', 'тонер', 'сыворотка', 'тянуть', 'фото', 'видно', 'увлажнять', 'консистенция', 'сыворотка', 'плотный', 'распределяться', 'нанесение', 'фотографировать', 'успевать', 'захватить', 'влажный', 'блеск', 'секунда', 'сыворотка', 'впитываться', 'свежий', 'белый', 'пора', 'успокаивать', 'эффект', 'сыворотка', 'фото', 'фильтр', 'оно', 'наглядно', 'уходовой', 'перед', 'сыворотка', 'умывание', 'роза', 'косметика', 'сыворотка', 'отлично', 'скользить', 'распределяться', 'пробовать', 'наносить', 'сыворотка', 'тонер', 'увлажнять', 'слишком', 'сыворотка', 'иногда', 'наносить', 'скоро', 'сыворотка', 'находить', 'любимый', 'косметика', 'легкий', 'жидковатый', 'отлично', 'тип', 'наносить', 'сверху', 'желание', 'пора', 'сыворотка', 'область', 'глаз', 'стандартно', 'наклеивать', 'воспользоваться', 'область', 'вокруг', 'глаз', 'однако', 'сыворотка', 'floresan', 'обычно', 'глаз', 'утро', 'глаз', 'слишком', 'тяжелый', 'сыворотка', 'тяжелый', 'область', 'вокруг', 'глаз', 'наносить', 'движение', 'сыворотка', 'кислота', 'ночь', 'неделя', 'floresan', 'остальное', 'сыворотка', 'судя', 'ощущение', 'сыворотка', 'идеально', 'жирный', 'тип', 'тип', 'лето', 'зима', 'наверное', 'никто', 'сыворотка', 'обычно', 'перед', 'сыворотка', 'наносить', 'тоник', 'тонер', 'покрывать', 'сыворотка', 'тип', 'значительный', 'сыворотка', 'экономичный', 'из-за', 'густой', 'консистенция', 'сыворотка', 'наноситься', 'пипетка', 'горошина', 'обходиться', 'капля', 'сыворотка', 'шея', 'сыворотка', 'хватить', 'пипетка', 'пипетка', 'конструкция', 'сыворотка', 'пипетка', 'набирать', 'сыворотка', 'слабо', 'сыворотка', 'продажа', 'фикс', 'прайс', 'поскольку', 'сыворотка', 'планировать', 'далее', 'платформа', 'интернет', 'нигде', 'находить', 'встречаться', 'лишь', 'уходовой', 'марка', 'лишь', 'посещать', 'фикс', 'прайс', 'разбирать', 'подводить', 'сыворотка', 'деньги']
1	Красота и здоровье	Ухаживающая косметика	Сыворотка для лица Floresan (Флоресан) Формула 658 Питательная с маслом авокадо	['обожать', 'авокадо', 'замечать', 'товар', 'изображение', 'коробка', 'производство', 'флоресать', 'средненький', 'отечественный', 'косметика', 'итак', 'сыворотка', 'floresan', 'питательный', 'авокадо', 'сыворотка', 'floresan', 'питательный', 'авокадо', 'fix', 'price', 'объем', 'мл', 'срок', 'хранение', 'вскрытие', 'производство', 'россия', 'сыворотка', 'брат', 'экстракт', 'гранат', 'витамин', 'гранатовый', 'фикс', 'прайс', 'полно', 'авокадо', 'оставаться', 'штука', 'витамин', 'способ', 'применение', 'ежедневно', 'утро', 'вечер', 'наносить', 'предварительно', 'наносить', 'сыворотка', 'утро', 'последующий', 'макияж', 'вечер', 'смысл', 'почему', 'написать', 'ниже', 'сыворотка', 'неплохой', 'компонент', 'флоресать', 'принцип', 'неплохой', 'авокадо', 'й', 'позиция', 'далеко', 'экстракт', 'алоэ', 'витамин', 'экстракт', 'зеленый', 'чай', 'витамин', 'е', 'гиалуроновой', 'кислота', 'баночка', 'сыворотка', 'наливать', 'баночка', 'стекло', 'портить', 'картина', 'дешевый', 'пластика', 'почему', 'баночка', 'пипетка', 'особенно', 'помнить', 'натура', 'дорогой', 'пипетка', 'пример', 'испортить', 'сыворотка', 'floresan', 'пусть', 'дешевый', 'рабочий', 'пипетка', 'отваливаться', 'свойство', 'сыворотка', 'молочный', 'текстура', 'вязкий', 'наносить', 'капелька', 'никуда', 'потечь', 'оставаться', 'слеза', 'слабенький', 'косметический', 'ощущение', 'стандартный', 'флоресать', 'композиция', 'где-то', 'косметика', 'слышать', 'сыворотка', 'неделя', 'расход', 'средний', 'пипетка', 'почему', 'капля', 'густой', 'пипетка', 'оставаться', 'скоро', 'лопаточка', 'обратно', 'пипетка', 'убирать', 'аккуратно', 'иначе', 'сыворотка', 'выливаться', 'край', 'баночка', 'впитываться', 'моментально', 'липкость', 'оставлять', 'происходить', 'замечать', 'впитывание', 'плотно', 'гладкий', 'шелушение', 'выражать', 'оставаться', 'считаться', 'питательный', 'понимание', 'питательный', 'комфорт', 'отсутствие', 'сухость', 'поверх', 'легкий', 'сыворотка', 'ложиться', 'макияж', 'наносить', 'утро', 'вечер', 'смысл', 'эффект', 'изменение', 'морщина', 'эластичность', 'замечать', 'пора', 'забивать', 'аллергия', 'нанесение', 'вокруг', 'глаз', 'наносить', 'аккуратно', 'кой', 'допускать', 'попадание', 'глаз', 'щипать', 'живой', 'фотография', 'фильтр', 'голый', 'наносить', 'сыворотка', 'вместе', 'тональный', 'основа', 'сыворотка', 'floresan', 'питательный', 'авокадо', 'бонус', 'основный', 'уход', 'повторно', 'возможно', 'экстракт', 'гранат', 'спасибо', 'рад', 'гость', 'читать', 'тысяча', 'ночь']
2	Красота и здоровье	Ухаживающая косметика	Сыворотка для лица Floresan (Флоресан) Формула 658 Питательная с маслом авокадо	['сутки', 'протестировать', 'сыворотка', 'флоресать', 'мнение', 'оценка', 'забегать', 'вперед', 'чудо', 'ждать', 'приходиться', 'сыворотка', 'витамин', 'гранат', 'гранат', 'витамин', 'обо', 'порядок', 'фикс', 'прайс', 'объем', 'внешний', 'предыдущий', 'картонный', 'авокадо', 'украшать', 'коробочка', 'соглашаться', 'манить', 'описывать', 'куча', 'куча', 'обещание', 'боковой', 'бутылек', 'украшать', 'срок', 'годность', 'выкидывать', 'текстура', 'сыворотка', 'гелевый', 'обращать', 'косяк', 'бутылочка', 'выполнять', 'пипетка', 'набираться', 'пипетка', 'пипетка', 'тогда', 'тюбик', 'сыворотка', 'кажется', 'густота', 'таять', 'превращаться', 'водичка', 'распределяться', 'впитываться', 'шелушение', 'спасать', 'напитывать', 'база', 'макияж', 'пояснять', 'сложный', 'матовый', 'тон', 'наносить', 'путь', 'деньги', 'ключ', 'высокий', 'spf', 'база', 'тянуться', 'вызывать', 'аллергия', 'раздражение', 'пахнуть', 'ухаживать', 'напоминать', 'ниветь', 'сравнение', 'честно', 'разница', 'между', 'сыворотка', 'замечать', 'текстура', 'эффект', 'результат', 'почему', 'последний', 'дико', 'шелушиться', 'отопление', 'странно', 'рано', 'чисто', 'сыворотка', 'возможно', 'смысл', 'применять', 'никак', 'собственно', 'вернуться', 'положение', 'грешить', 'порекомендовать', 'чудо', 'ждать', 'возможно', 'находка']
3	Красота и здоровье	Ухаживающая косметика	Сыворотка для лица Floresan (Флоресан) Формула 658 Питательная с маслом авокадо	['сутки', 'дорогой', 'читатель', 'назад', 'приобретать', 'проба', 'сыворотка', 'флоресать', 'питательный', 'авокадо', 'формула', 'хоть', 'фикс', 'прайс', 'проблемный', 'начинаться', 'покраснение', 'зуд', 'сыворотка', 'приобретать', 'продаваться', 'картонный', 'коробка', 'бутылочка', 'пипетка', 'дозировать', 'сыворотка', 'гелеобразный', 'прогревать', 'жидковатый', 'течь', 'зеленый', 'свежий', 'чувствоваться', 'легкий', 'нотка', 'растение', 'возможно', 'авокадо', 'применение', 'капелька', 'наносить', 'очищать', 'движение', 'вбивать', 'расход', 'бутылочка', 'дневный', 'применение', 'хватить', 'целый', 'покрываться', 'липкий', 'жирный', 'пленка', 'действительно', 'поверх', 'наносить', 'сыворотка', 'легкий', 'нанесение', 'забивать', 'пора', 'провоцировать', 'воспаление', 'целое', 'целое', 'отлично', 'увлажнять', 'питать', 'текстура', 'впитываться', 'оставлять', 'жирный', 'пленка', 'х', 'неделя', 'нажатие', 'вполне', 'идеально', 'проблемный', 'расход', 'бутылочка', 'хватить', 'целый']
4	Красота и здоровье	Ухаживающая косметика	Сыворотка для лица Floresan (Флоресан) Формула 658 Питательная с маслом авокадо	['сыворотка', 'рекомендация', 'уж', 'хвалить', 'специально', 'ходить', 'фикс', 'прайс', 'мнение', 'складываться', 'неоднозначный', 'касаться', 'свойство', 'сыворотка', 'нарекание', 'сыворотка', 'текстура', 'распределяться', 'впитываться', 'оставлять', 'пленка', 'ощущение', 'липкость', 'жирность', 'неплохой', 'увлажнение', 'смягчение', 'легкий', 'питание', 'супер', 'результат', 'во-первых', 'добротный', 'стеклянный', 'флакон', 'пипетка', 'дом', 'слишком', 'густой', 'невозможно', 'набирать', 'пипетка', 'оттуда', 'выдавливать', 'хоть', 'капля', 'сыворотка', 'пипетка', 'бутылек', 'приходиться', 'пипетка', 'флакон', 'стараться', 'сыворотка', 'пипетка', 'палец', 'куда', 'целый', 'квест', 'воспользоваться', 'флакон', 'полный', 'остаток', 'добывать', 'никак', 'пытаться', 'переливать', 'сыворотка', 'емкость', 'смочь', 'густой', 'сыворотка', 'логичный', 'помещать', 'туба', 'носик', 'баночка', 'засовывать', 'флакон', 'пипетка', 'советский', 'нанесение', 'долго', 'ощущать', 'неприятно', 'наконец', 'щипать', 'глаз', 'инструкция', 'стараться', 'наносить', 'близко', 'век', 'секунда', 'глаз', 'равно', 'впитываться', 'проходить', 'возможно', 'индивидуальный', 'реакция', 'бывать', 'крайне', 'редко', 'почему', 'сей', 'пора', 'выкидывать', 'выходить', 'нежный', 'чудо', 'свежий', 'беда', 'добыча', 'сыворотка', 'флакон', 'по-прежнему', 'оставаться', 'выпускать', 'формат', 'снова']
5	Красота и здоровье	Ухаживающая косметика	Сыворотка для лица Floresan (Флоресан) Формула 658 Питательная с маслом авокадо	['привет', 'милый', 'целое', 'сегодня', 'сыворотка', 'авокадо', 'новинка', 'приобретать', 'привлекать', 'обещание', 'осень', 'солнечный', 'особый', 'уход', 'организм', 'хватать', 'витамин', 'состояние', 'сыворотка', 'создавать', 'специально', 'интенсивный', 'увлажнение', 'питание', 'сыворотка', 'содержаться', 'авокадо', 'витамин', 'гиалуроновой', 'кислота', 'означать', 'сыворотка', 'напитывать', 'увлажнять', 'сиять', 'впитываться', 'оставлять', 'липкость', 'дискомфорт', 'наносить', 'ночь', 'утро', 'свежий', 'увлажнять', 'база', 'макияж', 'скатываться', 'оставлять', 'жирный', 'блеск', 'внешний', 'объем', 'симпатичный', 'указывать', 'полезный', 'стеклянный', 'баночка', 'пипетка', 'набирать', 'сыворотка', 'объем', 'мл', 'способ', 'применение', 'консистенция', 'сыворотка', 'похожий', 'гель', 'чуть', 'сладковатый', 'сыворотка', 'советовать']
6	Красота и здоровье	Ухаживающая косметика	Сыворотка для лица Floresan (Флоресан) Формула 658 Питательная с маслом авокадо	['копеечный', 'приобретать', 'фикс', 'прайс', 'совет', 'сестра', 'уверять', 'сыворотка', 'floresan', 'попка', 'младенец', 'почему', 'приобретать', 'наносить', 'зона', 'очищение', 'тщательный', 'умывание', 'текстура', 'абсолютно', 'жирный', 'словно', 'основа', 'нанесение', 'появляться', 'некоторый', 'чувство', 'щека', 'сыворотка', 'питать', 'вызывать', 'вызывать', 'лично', 'неприятный', 'покраснение', 'видимо', 'тип', 'повод', 'флакон', 'пипетка', 'зачем', 'всасывать', 'жидкость', 'лишь', 'покрываться', 'вытекать', 'трубка', 'честно', 'ожидать', 'великий', 'результат', 'явно', 'сыворотка', 'floresan']
7	Красота и здоровье	Ухаживающая косметика	Сыворотка для лица Floresan (Флоресан) Формула 658 Питательная с маслом авокадо	['привет', 'продолжение', 'тема', 'уход', 'сегодня', 'оставлять', 'питательный', 'сыворотка', 'авокадо', 'фирма', 'floresan', 'молочко', 'оно', 'помогать', 'обширный', 'солнечный', 'зайти', 'fix', 'price', 'полезный', 'мелочь', 'дома', 'полка', 'сыворотка', 'floresan', 'раздумывать', 'заканчиваться', 'новое', 'увлажнять', 'излишний', 'жирность', 'желательно', 'консистенция', 'гель', 'сыворотка', 'требование', 'привлекать', 'красочный', 'коробочка', 'продаваться', 'сыворотка', 'картинка', 'стиль', 'крупный', 'изображение', 'авокадо', 'оформление', 'пузырек', 'стеклянный', 'прозрачный', 'пипетка', 'дозирование', 'сыворотка', 'зеленоватый', 'нейтральный', 'консистенция', 'похожий', 'гель', 'алоэ', 'боковой', 'коробочка', 'указывать', 'действие', 'оказывать', 'компонент', 'сыворотка', 'инструкция', 'наносить', 'утро', 'вечер', 'хоть', 'лето', 'предпочитать', 'жирный', 'забивать', 'пора', 'создавать', 'пленка', 'оставлять', 'блеск', 'сыворотка', 'гелеобразный', 'исполнение', 'идеальный', 'легкий', 'густой', 'растекаться', 'экономичный', 'расход', 'нажатие', 'пипетка', 'полностью', 'сыворотка', 'отлично', 'увлажнять', 'благодаря', 'экстракт', 'алоэ', 'след', 'впитываться', 'жирный', 'блеск', 'липкость', 'будто', 'влага', 'дышать', 'нанесение', 'сыворотка', 'умывание', 'мыло', 'стягивать', 'особенно', 'заметный', 'мелкий', 'морщинка', 'щека', 'близко', 'нос', 'нанесение', 'сыворотка', 'гладкий', 'сиять', 'исчезать', 'стянутость', 'морщинка', 'менее', 'заметный', 'ощущение', 'свежесть', 'будто', 'умывание', 'прохладный', 'ощупь', 'младенец', 'забивать', 'пора', 'прыщ', 'сыворотка', 'неделя', 'ежедневно', 'указывать', 'гиалуроновой', 'кислота', 'речь', 'полный', 'морщина', 'сыворотка', 'идеально', 'улучшаться', 'уверенность', 'приятно', 'радовать', 'сыворотка', 'отлично', 'ложиться', 'пудра', 'тональный', 'основа', 'база', 'макияж', 'довольный', 'возможно', 'сыворотка', 'линейка']
8	Красота и здоровье	Ухаживающая косметика	Сыворотка для лица Floresan (Флоресан) Формула 658 Питательная с маслом авокадо	['приветствовать', 'заглядывать', 'красавица', 'фирма', 'floresan', 'давно', 'некоторые', 'считать', 'весьма', 'удачный', 'выбор', 'сыворотка', 'сеть', 'фикс', 'прайс', 'долго', 'ждать', 'появление', 'продажа', 'соцсеть', 'сыворотка', 'питательный', 'авокадо', 'гиалуроновой', 'кислота', 'floresan', 'стеклянный', 'пузырек', 'пипетка', 'объем', 'мл', 'упаковывать', 'картонный', 'коробка', 'подробный', 'продумывать', 'последний', 'капля', 'сыворотка', 'результат', 'капля', 'хватать', 'распределять', 'шея', 'распределяться', 'равномерно', 'впитываться', 'оставлять', 'чувство', 'увлажнять', 'сильный', 'лишь', 'едва', 'держаться', 'использоваться', 'вполне', 'экономно', 'бутылочка', 'хватать', 'учитывать', 'считать', 'уход', 'вполне', 'бюджетный', 'эффективный', 'написать', 'здоровый', 'увлажнять', 'пора', 'забивать', 'аллергический', 'реакция', 'раздражение', 'вызывать', 'утро', 'течение', 'отдыхать', 'здоровый', 'вполне', 'увлажнение', 'перед', 'макияж', 'липкость', 'оно', 'оставлять', 'довольный', 'добавлять', 'обладательница', 'зрелый', 'нормальный', 'смело', 'удачный', 'спасибо', 'прочтение']
9	Красота и здоровье	Ухаживающая косметика	Сыворотка для лица Floresan (Флоресан) Формула 658 Питательная с маслом авокадо	['как-то', 'сыворотка', 'честно', 'название', 'особо', 'во-первых', 'дозатор', 'доставать', 'сыворотка', 'флакон', 'во-вторых', 'сыворотка', 'жидкий', 'особо', 'увлажнять', 'оставаться', 'мнение', 'сыворотка', 'летний', 'период', 'жирный', 'слишком', 'плотный', 'легкий', 'зима', 'весть', 'лето', 'расстраивать', 'увы']
